"discount","sales","profit","profit_margin","orders"
0,1087908.47,320987.6032,0.295050192228028,4798
0.1,54369.351,9029.177,0.1660710829526,94
0.15,27558.5215,1418.9915,0.0514901171312837,52
0.2,764594.368,90337.306,0.118150629642095,3657
0.3,103226.655,-10369.2774,-0.100451549069376,227
0.32,14493.4588,-2391.1377,-0.16498047381209,27
0.4,116417.784,-23057.0504,-0.198054365989306,206
0.45,5484.974,-2493.1111,-0.454534716117159,11
0.5,58918.54,-20506.4281,-0.348047118954407,66
0.6,6644.7,-5944.6552,-0.894646139028098,138
0.7,40620.282,-40075.3569,-0.986584901109254,418
0.8,16963.756,-30539.0392,-1.80025220829632,300
